POSITIVE	Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
POSITIVE	@Apple will be adding more carrier support to the iPhone 4S (just announced)
POSITIVE	Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
POSITIVE	@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
POSITIVE	I just realized that the reason I got into twitter was ios5 thanks @apple
POSITIVE	I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone
POSITIVE	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
POSITIVE	Great up close & personal event @Apple tonight in Regent St store!
POSITIVE	From which companies do you experience the best customer service aside from @zappos and @apple?
POSITIVE	Just apply for a job at @Apple, hope they call me lol
POSITIVE	RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
POSITIVE	Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
POSITIVE	RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!
POSITIVE	Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
POSITIVE	Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!
POSITIVE	你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
POSITIVE	Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”
POSITIVE	Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.
POSITIVE	Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
POSITIVE	Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.
POSITIVE	@DailyDealChat @apple Thanks!!
POSITIVE	iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
POSITIVE	@apple..good ipad
POSITIVE	@apple @siri is efffing amazing!!
POSITIVE	Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
POSITIVE	"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
POSITIVE	"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
POSITIVE	"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
POSITIVE	We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
POSITIVE	---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
POSITIVE	RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
POSITIVE	I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
POSITIVE	@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
POSITIVE	At the bus with my iPhone ;) thxx @apple
POSITIVE	@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.
POSITIVE	NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
POSITIVE	@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
POSITIVE	@bkad5161 than apologize to @apple ;)
POSITIVE	@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
POSITIVE	"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
POSITIVE	Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
POSITIVE	Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
POSITIVE	Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
POSITIVE	Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
POSITIVE	you are so blessed. @apple
POSITIVE	#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple
POSITIVE	Well at least the @apple store has amazing call waiting music! #need4s
POSITIVE	#sweet... #apple replaced my glass #probono. thank you @apple
POSITIVE	Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
POSITIVE	loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology
POSITIVE	I'm loving this new IOS5 update :) @apple
POSITIVE	Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
POSITIVE	Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
POSITIVE	hey @apple I hate my computer i need a #mack wanna send me a free one.
POSITIVE	Thank you @apple. My new gf(iphone4s) is great!  She does everything!
POSITIVE	#iCloud set up was flawless and works like a champ! To the Cloud @Apple
POSITIVE	@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
POSITIVE	@apple loving the new IOS5 upgrade for the iPhone!
POSITIVE	The nice @apple tech support guy fixed my iTouch =D
POSITIVE	Once again getting great customer service from the @apple store at millenia mall.
POSITIVE	Is it just me or is #iOS5 faster for the iPad? @apple
POSITIVE	I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek
POSITIVE	making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
POSITIVE	So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
POSITIVE	Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
POSITIVE	So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
POSITIVE	@Apple Safari Reader owns the worldwide web
POSITIVE	I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
POSITIVE	"#10twitterpeopleiwouldliketomeet @coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)"
POSITIVE	Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
POSITIVE	Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)
POSITIVE	i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
POSITIVE	Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w
POSITIVE	Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.
